onset	duration	trial_type	melody_number	melody_part	key	sound	action
810.208	6.317	CUE_LISTEN	        M8	1	n/a	n/a	n/a
816.525	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
824.283	6.325	CUE_PLAYBACK_BOTH_HANDS	        M8	1	n/a	n/a	n/a
824.795	n/a	RESPONSE	        M8	1	14	D4	press
825.196	n/a	RESPONSE	        M8	1	14	D4	release
825.699	n/a	RESPONSE	        M8	1	12	C4	press
826.104	n/a	RESPONSE	        M8	1	12	C4	release
826.849	n/a	RESPONSE	        M8	1	17	F4	press
827.357	n/a	RESPONSE	        M8	1	17	F4	release
827.894	n/a	RESPONSE	        M8	1	16	E4	press
828.541	n/a	RESPONSE	        M8	1	19	G4	press
828.692	n/a	RESPONSE	        M8	1	16	E4	release
828.93	n/a	RESPONSE	        M8	1	23	B4	press
828.944	n/a	RESPONSE	        M8	1	19	G4	release
829.234	n/a	RESPONSE	        M8	1	23	B4	release
829.402	n/a	RESPONSE	        M8	1	23	B4	press
829.904	n/a	RESPONSE	        M8	1	07	G3	press
829.915	n/a	RESPONSE	        M8	1	18	F#4	press
829.969	n/a	RESPONSE	        M8	1	23	B4	release
830.247	n/a	RESPONSE	        M8	1	12	C4	press
830.25	n/a	RESPONSE	        M8	1	11	B3	press
830.522	n/a	RESPONSE	        M8	1	12	C4	release
830.608	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
830.662	n/a	RESPONSE	        M8	1	18	F#4	release
830.722	n/a	RESPONSE	        M8	1	07	G3	release
830.725	n/a	RESPONSE	        M8	1	21	A4	press
830.787	n/a	RESPONSE	        M8	1	14	D4	press
830.796	n/a	RESPONSE	        M8	1	11	B3	release
831.127	n/a	RESPONSE	        M8	1	14	D4	release
831.179	n/a	RESPONSE	        M8	1	21	A4	release
838.367	6.317	CUE_LISTEN	        M8	2	n/a	n/a	n/a
844.683	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
852.442	6.325	CUE_PLAYBACK_BOTH_HANDS	        M8	2	n/a	n/a	n/a
852.919	n/a	RESPONSE	        M8	2	16	E4	press
853.199	n/a	RESPONSE	        M8	2	19	G4	press
853.31	n/a	RESPONSE	        M8	2	16	E4	release
853.501	n/a	RESPONSE	        M8	2	23	B4	press
853.504	n/a	RESPONSE	        M8	2	19	G4	release
853.845	n/a	RESPONSE	        M8	2	23	B4	release
854.556	n/a	RESPONSE	        M8	2	07	G3	press
854.587	n/a	RESPONSE	        M8	2	18	F#4	press
854.64	n/a	RESPONSE	        M8	2	23	B4	release
854.881	n/a	RESPONSE	        M8	2	11	B3	press
855.142	n/a	RESPONSE	        M8	2	07	G3	release
855.162	n/a	RESPONSE	        M8	2	21	A4	press
855.196	n/a	RESPONSE	        M8	2	18	F#4	release
855.235	n/a	RESPONSE	        M8	2	14	D4	press
855.296	n/a	RESPONSE	        M8	2	11	B3	release
855.62	n/a	RESPONSE	        M8	2	14	D4	release
855.629	n/a	RESPONSE	        M8	2	21	A4	release
855.754	n/a	RESPONSE	        M8	2	14	D4	press
855.756	n/a	RESPONSE	        M8	2	21	A4	press
856.02	n/a	RESPONSE	        M8	2	21	A4	release
856.027	n/a	RESPONSE	        M8	2	14	D4	release
856.314	n/a	RESPONSE	        M8	2	13	C#4	press
856.316	n/a	RESPONSE	        M8	2	23	B4	press
856.88	n/a	RESPONSE	        M8	2	13	C#4	release
856.964	n/a	RESPONSE	        M8	2	21	A4	press
856.975	n/a	RESPONSE	        M8	2	23	B4	release
857.034	n/a	RESPONSE	        M8	2	09	A3	press
857.16	n/a	RESPONSE	        M8	2	09	A3	release
857.361	n/a	RESPONSE	        M8	2	19	G4	press
857.43	n/a	RESPONSE	        M8	2	21	A4	release
857.711	n/a	RESPONSE	        M8	2	17	F4	press
857.809	n/a	RESPONSE	        M8	2	19	G4	release
857.921	n/a	RESPONSE	        M8	2	17	F4	release
858.461	n/a	RESPONSE	        M8	2	18	F#4	press
858.767	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
859.271	n/a	RESPONSE	        M8	2	14	D4	press
859.294	n/a	RESPONSE	        M8	2	18	F#4	release
859.507	n/a	RESPONSE	        M8	2	14	D4	release
866.525	6.317	CUE_LISTEN	        M6	1	n/a	n/a	n/a
872.842	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
873.56	n/a	RESPONSE	        M6	1	16	E4	press
873.934	n/a	RESPONSE	        M6	1	16	E4	release
874.292	n/a	RESPONSE	        M6	1	17	F4	press
874.594	n/a	RESPONSE	        M6	1	17	F4	release
874.885	n/a	RESPONSE	        M6	1	19	G4	press
875.186	n/a	RESPONSE	        M6	1	19	G4	release
880.6	6.317	CUE_PLAYBACK_RIGHT_HAND	        M6	1	n/a	n/a	n/a
