onset	duration	trial_type	n_back_condition	trial_number	stimulus	response_type
227.7995	1.0167	ISI	n/a	n/a	n/a	n/a
227.8328	n/a	RESPONSE	n/a	n/a	n/a	n/a
228.8162	0.5167	DISTRACTOR	3	43	D	Correct Rejection
229.3329	1.0167	ISI	n/a	n/a	n/a	n/a
230.3495	0.5167	DISTRACTOR	3	44	A	Correct Rejection
230.8662	1.0167	ISI	n/a	n/a	n/a	n/a
231.8829	0.5167	TARGET	3	45	B	Hit
232.3996	1.0167	ISI	n/a	n/a	n/a	n/a
232.4237	n/a	RESPONSE	n/a	n/a	n/a	n/a
233.4163	0.5167	TARGET	3	46	D	Hit
233.9329	1.0167	ISI	n/a	n/a	n/a	n/a
234.2153	n/a	RESPONSE	n/a	n/a	n/a	n/a
234.9496	0.5167	DISTRACTOR	3	47	E	Correct Rejection
235.4663	1.0167	ISI	n/a	n/a	n/a	n/a
236.4829	0.5167	DISTRACTOR	3	48	I	Correct Rejection
236.9996	1.0167	ISI	n/a	n/a	n/a	n/a
238.0163	0.5167	DISTRACTOR	3	49	A	Correct Rejection
238.533	1.0167	ISI	n/a	n/a	n/a	n/a
239.5496	0.5167	DISTRACTOR	3	50	I	False Alarm
239.8939	n/a	RESPONSE	n/a	n/a	n/a	n/a
240.0663	1.0334	ISI	n/a	n/a	n/a	n/a
242.5013	n/a	RESPONSE	n/a	n/a	n/a	n/a
