onset	duration	condition	trial_type	braille_stimulus	response_val	response_type
607.096	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
608.318	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
609.335	5.008	LEXICAL_DECISION	WORD	MEBLE	n/a	n/a
615.52	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
617.877	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
622.377	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
623.394	5.008	6_DOT_DETECTION	6-DOT	U#A#	n/a	n/a
626.376	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
630.427	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
631.444	5.008	6_DOT_DETECTION	NO_6-DOT	KDCMB	n/a	n/a
634.72	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
638.477	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
639.494	5.008	6_DOT_DETECTION	NO_6-DOT	LSTA	n/a	n/a
642.4	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
646.527	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
647.544	5.008	6_DOT_DETECTION	6-DOT	D#T#	n/a	n/a
650.12	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
654.577	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
655.594	5.008	6_DOT_DETECTION	6-DOT	ST##	n/a	n/a
658.48	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
664.135	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
669.635	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
670.652	5.008	LEXICAL_DECISION	PSEUDOWORD	DIKO	n/a	n/a
676.76	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
677.685	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
678.702	5.008	LEXICAL_DECISION	WORD	OBIE	n/a	n/a
683.56	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
685.735	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
686.752	5.008	LEXICAL_DECISION	PSEUDOWORD	PODO	n/a	n/a
692.28	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
693.785	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
694.802	5.008	LEXICAL_DECISION	PSEUDOWORD	BODAT	n/a	n/a
700.936	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
701.836	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
702.852	5.008	LEXICAL_DECISION	WORD	KILKU	n/a	n/a
708.8	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
710.894	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
715.894	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
716.91	5.008	6_DOT_DETECTION	NO_6-DOT	BKPO	n/a	n/a
720.28	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
723.944	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
724.96	5.008	6_DOT_DETECTION	6-DOT	#KM#P	n/a	n/a
729.576	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
731.994	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
733.01	5.008	6_DOT_DETECTION	NO_6-DOT	LMYKT	n/a	n/a
737.44	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
740.044	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
741.061	5.008	6_DOT_DETECTION	NO_6-DOT	CDSYŁ	n/a	n/a
744.96	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
748.094	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
749.111	5.008	6_DOT_DETECTION	6-DOT	#IC#	n/a	n/a
751.736	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
